Object Kind	Layer	Net	X1	Y1	X2	Y2	Keepout	Locked	Rotation	Solder Mask Expansion	Solder Mask Expansion Mode	Paste Mask Expansion	Paste Mask Expansion Mode
Fill	BottomOverlay	No Net	0.750	3.000	1.250	3.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	1.750	3.000	2.000	3.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.750	3.000	3.000	3.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.500	3.000	5.000	3.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	5.750	3.000	6.000	3.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	6.250	3.000	6.750	3.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	3.250	0.750	3.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	1.000	3.250	1.250	3.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	1.500	3.250	2.000	3.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.750	3.250	3.250	3.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.500	3.250	4.000	3.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.250	3.250	4.750	3.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	5.000	3.250	5.500	3.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	5.750	3.250	6.000	3.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	6.500	3.250	6.750	3.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	3.500	0.250	3.750	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.750	3.500	1.250	3.750	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	1.500	3.500	1.750	3.750	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.000	3.500	2.500	3.750	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.750	3.500	4.000	3.750	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.250	3.500	4.500	3.750	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.750	3.500	5.000	3.750	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	6.000	3.500	6.750	3.750	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	3.750	0.250	4.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	1.250	3.750	1.500	4.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	1.750	3.750	2.250	4.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.500	3.750	3.000	4.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.500	3.750	3.750	4.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.000	3.750	4.250	4.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.500	3.750	4.750	4.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	5.250	3.750	5.500	4.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	6.250	3.750	6.750	4.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	4.000	0.250	4.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.750	4.000	1.250	4.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	1.500	4.000	1.750	4.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.250	4.000	2.500	4.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.000	4.000	3.500	4.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.750	4.000	4.000	4.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.750	4.000	5.500	4.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	6.000	4.000	6.750	4.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	4.250	0.500	4.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.750	4.250	1.250	4.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	1.500	4.250	2.250	4.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.000	4.250	4.000	4.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.250	4.250	4.750	4.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	5.000	4.250	5.250	4.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	5.500	4.250	5.750	4.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	6.000	4.250	6.250	4.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	6.500	4.250	6.750	4.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	4.500	2.250	4.750	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.500	4.500	2.750	4.750	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.250	4.500	6.750	4.750	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	4.750	0.250	5.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.000	4.750	2.250	5.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.500	4.750	2.750	5.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.000	4.750	3.250	5.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.500	4.750	3.750	5.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.000	4.750	4.250	5.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.500	4.750	4.750	5.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	6.500	4.750	6.750	5.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	5.000	0.250	5.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.500	5.000	1.750	5.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.000	5.000	3.000	5.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.250	5.000	4.000	5.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.250	5.000	4.750	5.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	5.000	5.000	6.250	5.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	6.500	5.000	6.750	5.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	5.250	0.250	5.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.500	5.250	0.750	5.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	1.500	5.250	1.750	5.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.000	5.250	2.750	5.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.000	5.250	4.000	5.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.500	5.250	4.750	5.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	5.000	5.250	5.250	5.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	6.000	5.250	6.250	5.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	6.500	5.250	6.750	5.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	5.500	0.250	5.750	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.500	5.500	0.750	5.750	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	1.500	5.500	1.750	5.750	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.000	5.500	2.500	5.750	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.500	5.500	4.000	5.750	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.250	5.500	4.750	5.750	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	5.000	5.500	5.250	5.750	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	6.000	5.500	6.250	5.750	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	6.500	5.500	6.750	5.750	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	5.750	0.250	6.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.500	5.750	0.750	6.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	1.500	5.750	1.750	6.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.000	5.750	2.250	6.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.500	5.750	2.750	6.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.500	5.750	3.750	6.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.250	5.750	4.750	6.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	5.000	5.750	5.250	6.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	6.000	5.750	6.250	6.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	6.500	5.750	6.750	6.000	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	6.000	0.250	6.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.500	6.000	1.750	6.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.000	6.000	2.250	6.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.000	6.000	3.500	6.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	4.500	6.000	4.750	6.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	5.000	6.000	6.250	6.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	6.500	6.000	6.750	6.250	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	6.250	0.250	6.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.000	6.250	2.250	6.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	2.500	6.250	3.000	6.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	3.500	6.250	4.750	6.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	6.500	6.250	6.750	6.500	false	false	0.0	0	none	0	none
Fill	BottomOverlay	No Net	0.000	6.500	6.750	6.750	false	false	0.0	0	none	0	none
